county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Jefferson,BARNETT,U.S. Senate,,"Bob Casey, Jr.",DEM,39,,,Jefferson County,BARNETT
Jefferson,BEAVER,U.S. Senate,,"Bob Casey, Jr.",DEM,46,,,Jefferson County,BEAVER
Jefferson,BELL,U.S. Senate,,"Bob Casey, Jr.",DEM,186,,,Jefferson County,BELL
Jefferson,BIG RUN,U.S. Senate,,"Bob Casey, Jr.",DEM,58,,,Jefferson County,BIG RUN
Jefferson,BROCKWAY,U.S. Senate,,"Bob Casey, Jr.",DEM,289,,,Jefferson County,BROCKWAY
Jefferson,BROOKVILLE 1,U.S. Senate,,"Bob Casey, Jr.",DEM,290,,,Jefferson County,BROOKVILLE 1
Jefferson,BROOKVILLE 2,U.S. Senate,,"Bob Casey, Jr.",DEM,205,,,Jefferson County,BROOKVILLE 2
Jefferson,CLOVER,U.S. Senate,,"Bob Casey, Jr.",DEM,43,,,Jefferson County,CLOVER
Jefferson,CORSICA,U.S. Senate,,"Bob Casey, Jr.",DEM,37,,,Jefferson County,CORSICA
Jefferson,ELDRED,U.S. Senate,,"Bob Casey, Jr.",DEM,118,,,Jefferson County,ELDRED
Jefferson,FALLS CREEK,U.S. Senate,,"Bob Casey, Jr.",DEM,122,,,Jefferson County,FALLS CREEK
Jefferson,GASKILL,U.S. Senate,,"Bob Casey, Jr.",DEM,62,,,Jefferson County,GASKILL
Jefferson,HEATH,U.S. Senate,,"Bob Casey, Jr.",DEM,16,,,Jefferson County,HEATH
Jefferson,HENDERSON,U.S. Senate,,"Bob Casey, Jr.",DEM,97,,,Jefferson County,HENDERSON
Jefferson,KNOX,U.S. Senate,,"Bob Casey, Jr.",DEM,67,,,Jefferson County,KNOX
Jefferson,MCCALMONT,U.S. Senate,,"Bob Casey, Jr.",DEM,80,,,Jefferson County,MCCALMONT
Jefferson,OLIVER,U.S. Senate,,"Bob Casey, Jr.",DEM,85,,,Jefferson County,OLIVER
Jefferson,PERRY,U.S. Senate,,"Bob Casey, Jr.",DEM,99,,,Jefferson County,PERRY
Jefferson,PINECREEK,U.S. Senate,,"Bob Casey, Jr.",DEM,100,,,Jefferson County,PINECREEK
Jefferson,POLK,U.S. Senate,,"Bob Casey, Jr.",DEM,23,,,Jefferson County,POLK
Jefferson,PORTER,U.S. Senate,,"Bob Casey, Jr.",DEM,12,,,Jefferson County,PORTER
Jefferson,PUNXSUTAWNEY 1,U.S. Senate,,"Bob Casey, Jr.",DEM,291,,,Jefferson County,PUNXSUTAWNEY 1
Jefferson,PUNXSUTAWNEY 2,U.S. Senate,,"Bob Casey, Jr.",DEM,201,,,Jefferson County,PUNXSUTAWNEY 2
Jefferson,PUNXSUTAWNEY 3,U.S. Senate,,"Bob Casey, Jr.",DEM,173,,,Jefferson County,PUNXSUTAWNEY 3
Jefferson,REYNOLDSVILLE,U.S. Senate,,"Bob Casey, Jr.",DEM,264,,,Jefferson County,REYNOLDSVILLE
Jefferson,RINGGOLD,U.S. Senate,,"Bob Casey, Jr.",DEM,54,,,Jefferson County,RINGGOLD
Jefferson,ROSE,U.S. Senate,,"Bob Casey, Jr.",DEM,101,,,Jefferson County,ROSE
Jefferson,SNYDER,U.S. Senate,,"Bob Casey, Jr.",DEM,299,,,Jefferson County,SNYDER
Jefferson,SUMMERVILLE,U.S. Senate,,"Bob Casey, Jr.",DEM,40,,,Jefferson County,SUMMERVILLE
Jefferson,SYKESVILLE,U.S. Senate,,"Bob Casey, Jr.",DEM,114,,,Jefferson County,SYKESVILLE
Jefferson,TIMBLIN,U.S. Senate,,"Bob Casey, Jr.",DEM,5,,,Jefferson County,TIMBLIN
Jefferson,UNION,U.S. Senate,,"Bob Casey, Jr.",DEM,77,,,Jefferson County,UNION
Jefferson,WARSAW,U.S. Senate,,"Bob Casey, Jr.",DEM,94,,,Jefferson County,WARSAW
Jefferson,WASHINGTON,U.S. Senate,,"Bob Casey, Jr.",DEM,191,,,Jefferson County,WASHINGTON
Jefferson,WINSLOW,U.S. Senate,,"Bob Casey, Jr.",DEM,242,,,Jefferson County,WINSLOW
Jefferson,WORTHVILLE,U.S. Senate,,"Bob Casey, Jr.",DEM,11,,,Jefferson County,WORTHVILLE
Jefferson,YOUNG,U.S. Senate,,"Bob Casey, Jr.",DEM,206,,,Jefferson County,YOUNG
Jefferson,BARNETT,U.S. Senate,,Lou Barletta,REP,93,,,Jefferson County,BARNETT
Jefferson,BEAVER,U.S. Senate,,Lou Barletta,REP,169,,,Jefferson County,BEAVER
Jefferson,BELL,U.S. Senate,,Lou Barletta,REP,560,,,Jefferson County,BELL
Jefferson,BIG RUN,U.S. Senate,,Lou Barletta,REP,148,,,Jefferson County,BIG RUN
Jefferson,BROCKWAY,U.S. Senate,,Lou Barletta,REP,374,,,Jefferson County,BROCKWAY
Jefferson,BROOKVILLE 1,U.S. Senate,,Lou Barletta,REP,476,,,Jefferson County,BROOKVILLE 1
Jefferson,BROOKVILLE 2,U.S. Senate,,Lou Barletta,REP,452,,,Jefferson County,BROOKVILLE 2
Jefferson,CLOVER,U.S. Senate,,Lou Barletta,REP,155,,,Jefferson County,CLOVER
Jefferson,CORSICA,U.S. Senate,,Lou Barletta,REP,85,,,Jefferson County,CORSICA
Jefferson,ELDRED,U.S. Senate,,Lou Barletta,REP,439,,,Jefferson County,ELDRED
Jefferson,FALLS CREEK,U.S. Senate,,Lou Barletta,REP,216,,,Jefferson County,FALLS CREEK
Jefferson,GASKILL,U.S. Senate,,Lou Barletta,REP,174,,,Jefferson County,GASKILL
Jefferson,HEATH,U.S. Senate,,Lou Barletta,REP,50,,,Jefferson County,HEATH
Jefferson,HENDERSON,U.S. Senate,,Lou Barletta,REP,284,,,Jefferson County,HENDERSON
Jefferson,KNOX,U.S. Senate,,Lou Barletta,REP,330,,,Jefferson County,KNOX
Jefferson,MCCALMONT,U.S. Senate,,Lou Barletta,REP,196,,,Jefferson County,MCCALMONT
Jefferson,OLIVER,U.S. Senate,,Lou Barletta,REP,400,,,Jefferson County,OLIVER
Jefferson,PERRY,U.S. Senate,,Lou Barletta,REP,332,,,Jefferson County,PERRY
Jefferson,PINECREEK,U.S. Senate,,Lou Barletta,REP,299,,,Jefferson County,PINECREEK
Jefferson,POLK,U.S. Senate,,Lou Barletta,REP,91,,,Jefferson County,POLK
Jefferson,PORTER,U.S. Senate,,Lou Barletta,REP,99,,,Jefferson County,PORTER
Jefferson,PUNXSUTAWNEY 1,U.S. Senate,,Lou Barletta,REP,443,,,Jefferson County,PUNXSUTAWNEY 1
Jefferson,PUNXSUTAWNEY 2,U.S. Senate,,Lou Barletta,REP,290,,,Jefferson County,PUNXSUTAWNEY 2
Jefferson,PUNXSUTAWNEY 3,U.S. Senate,,Lou Barletta,REP,284,,,Jefferson County,PUNXSUTAWNEY 3
Jefferson,REYNOLDSVILLE,U.S. Senate,,Lou Barletta,REP,493,,,Jefferson County,REYNOLDSVILLE
Jefferson,RINGGOLD,U.S. Senate,,Lou Barletta,REP,195,,,Jefferson County,RINGGOLD
Jefferson,ROSE,U.S. Senate,,Lou Barletta,REP,326,,,Jefferson County,ROSE
Jefferson,SNYDER,U.S. Senate,,Lou Barletta,REP,550,,,Jefferson County,SNYDER
Jefferson,SUMMERVILLE,U.S. Senate,,Lou Barletta,REP,130,,,Jefferson County,SUMMERVILLE
Jefferson,SYKESVILLE,U.S. Senate,,Lou Barletta,REP,199,,,Jefferson County,SYKESVILLE
Jefferson,TIMBLIN,U.S. Senate,,Lou Barletta,REP,38,,,Jefferson County,TIMBLIN
Jefferson,UNION,U.S. Senate,,Lou Barletta,REP,292,,,Jefferson County,UNION
Jefferson,WARSAW,U.S. Senate,,Lou Barletta,REP,425,,,Jefferson County,WARSAW
Jefferson,WASHINGTON,U.S. Senate,,Lou Barletta,REP,525,,,Jefferson County,WASHINGTON
Jefferson,WINSLOW,U.S. Senate,,Lou Barletta,REP,748,,,Jefferson County,WINSLOW
Jefferson,WORTHVILLE,U.S. Senate,,Lou Barletta,REP,33,,,Jefferson County,WORTHVILLE
Jefferson,YOUNG,U.S. Senate,,Lou Barletta,REP,479,,,Jefferson County,YOUNG
Jefferson,BARNETT,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,BARNETT
Jefferson,BEAVER,U.S. Senate,,Neal Gale,GRN,5,,,Jefferson County,BEAVER
Jefferson,BELL,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,BELL
Jefferson,BIG RUN,U.S. Senate,,Neal Gale,GRN,6,,,Jefferson County,BIG RUN
Jefferson,BROCKWAY,U.S. Senate,,Neal Gale,GRN,9,,,Jefferson County,BROCKWAY
Jefferson,BROOKVILLE 1,U.S. Senate,,Neal Gale,GRN,6,,,Jefferson County,BROOKVILLE 1
Jefferson,BROOKVILLE 2,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,BROOKVILLE 2
Jefferson,CLOVER,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,CLOVER
Jefferson,CORSICA,U.S. Senate,,Neal Gale,GRN,6,,,Jefferson County,CORSICA
Jefferson,ELDRED,U.S. Senate,,Neal Gale,GRN,3,,,Jefferson County,ELDRED
Jefferson,FALLS CREEK,U.S. Senate,,Neal Gale,GRN,2,,,Jefferson County,FALLS CREEK
Jefferson,GASKILL,U.S. Senate,,Neal Gale,GRN,4,,,Jefferson County,GASKILL
Jefferson,HEATH,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,HEATH
Jefferson,HENDERSON,U.S. Senate,,Neal Gale,GRN,4,,,Jefferson County,HENDERSON
Jefferson,KNOX,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,KNOX
Jefferson,MCCALMONT,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,MCCALMONT
Jefferson,OLIVER,U.S. Senate,,Neal Gale,GRN,3,,,Jefferson County,OLIVER
Jefferson,PERRY,U.S. Senate,,Neal Gale,GRN,3,,,Jefferson County,PERRY
Jefferson,PINECREEK,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,PINECREEK
Jefferson,POLK,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,POLK
Jefferson,PORTER,U.S. Senate,,Neal Gale,GRN,3,,,Jefferson County,PORTER
Jefferson,PUNXSUTAWNEY 1,U.S. Senate,,Neal Gale,GRN,4,,,Jefferson County,PUNXSUTAWNEY 1
Jefferson,PUNXSUTAWNEY 2,U.S. Senate,,Neal Gale,GRN,3,,,Jefferson County,PUNXSUTAWNEY 2
Jefferson,PUNXSUTAWNEY 3,U.S. Senate,,Neal Gale,GRN,7,,,Jefferson County,PUNXSUTAWNEY 3
Jefferson,REYNOLDSVILLE,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,REYNOLDSVILLE
Jefferson,RINGGOLD,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,RINGGOLD
Jefferson,ROSE,U.S. Senate,,Neal Gale,GRN,6,,,Jefferson County,ROSE
Jefferson,SNYDER,U.S. Senate,,Neal Gale,GRN,1,,,Jefferson County,SNYDER
Jefferson,SUMMERVILLE,U.S. Senate,,Neal Gale,GRN,2,,,Jefferson County,SUMMERVILLE
Jefferson,SYKESVILLE,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,SYKESVILLE
Jefferson,TIMBLIN,U.S. Senate,,Neal Gale,GRN,4,,,Jefferson County,TIMBLIN
Jefferson,UNION,U.S. Senate,,Neal Gale,GRN,2,,,Jefferson County,UNION
Jefferson,WARSAW,U.S. Senate,,Neal Gale,GRN,2,,,Jefferson County,WARSAW
Jefferson,WASHINGTON,U.S. Senate,,Neal Gale,GRN,5,,,Jefferson County,WASHINGTON
Jefferson,WINSLOW,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,WINSLOW
Jefferson,WORTHVILLE,U.S. Senate,,Neal Gale,GRN,3,,,Jefferson County,WORTHVILLE
Jefferson,YOUNG,U.S. Senate,,Neal Gale,GRN,,,,Jefferson County,YOUNG
Jefferson,BARNETT,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Jefferson County,BARNETT
Jefferson,BEAVER,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Jefferson County,BEAVER
Jefferson,BELL,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Jefferson County,BELL
Jefferson,BIG RUN,U.S. Senate,,Dale R. Kerns Jr.,LIB,8,,,Jefferson County,BIG RUN
Jefferson,BROCKWAY,U.S. Senate,,Dale R. Kerns Jr.,LIB,24,,,Jefferson County,BROCKWAY
Jefferson,BROOKVILLE 1,U.S. Senate,,Dale R. Kerns Jr.,LIB,9,,,Jefferson County,BROOKVILLE 1
Jefferson,BROOKVILLE 2,U.S. Senate,,Dale R. Kerns Jr.,LIB,,,,Jefferson County,BROOKVILLE 2
Jefferson,CLOVER,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Jefferson County,CLOVER
Jefferson,CORSICA,U.S. Senate,,Dale R. Kerns Jr.,LIB,10,,,Jefferson County,CORSICA
Jefferson,ELDRED,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Jefferson County,ELDRED
Jefferson,FALLS CREEK,U.S. Senate,,Dale R. Kerns Jr.,LIB,,,,Jefferson County,FALLS CREEK
Jefferson,GASKILL,U.S. Senate,,Dale R. Kerns Jr.,LIB,,,,Jefferson County,GASKILL
Jefferson,HEATH,U.S. Senate,,Dale R. Kerns Jr.,LIB,6,,,Jefferson County,HEATH
Jefferson,HENDERSON,U.S. Senate,,Dale R. Kerns Jr.,LIB,6,,,Jefferson County,HENDERSON
Jefferson,KNOX,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Jefferson County,KNOX
Jefferson,MCCALMONT,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Jefferson County,MCCALMONT
Jefferson,OLIVER,U.S. Senate,,Dale R. Kerns Jr.,LIB,4,,,Jefferson County,OLIVER
Jefferson,PERRY,U.S. Senate,,Dale R. Kerns Jr.,LIB,5,,,Jefferson County,PERRY
Jefferson,PINECREEK,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Jefferson County,PINECREEK
Jefferson,POLK,U.S. Senate,,Dale R. Kerns Jr.,LIB,,,,Jefferson County,POLK
Jefferson,PORTER,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Jefferson County,PORTER
Jefferson,PUNXSUTAWNEY 1,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Jefferson County,PUNXSUTAWNEY 1
Jefferson,PUNXSUTAWNEY 2,U.S. Senate,,Dale R. Kerns Jr.,LIB,4,,,Jefferson County,PUNXSUTAWNEY 2
Jefferson,PUNXSUTAWNEY 3,U.S. Senate,,Dale R. Kerns Jr.,LIB,11,,,Jefferson County,PUNXSUTAWNEY 3
Jefferson,REYNOLDSVILLE,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Jefferson County,REYNOLDSVILLE
Jefferson,RINGGOLD,U.S. Senate,,Dale R. Kerns Jr.,LIB,11,,,Jefferson County,RINGGOLD
Jefferson,ROSE,U.S. Senate,,Dale R. Kerns Jr.,LIB,14,,,Jefferson County,ROSE
Jefferson,SNYDER,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Jefferson County,SNYDER
Jefferson,SUMMERVILLE,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Jefferson County,SUMMERVILLE
Jefferson,SYKESVILLE,U.S. Senate,,Dale R. Kerns Jr.,LIB,,,,Jefferson County,SYKESVILLE
Jefferson,TIMBLIN,U.S. Senate,,Dale R. Kerns Jr.,LIB,4,,,Jefferson County,TIMBLIN
Jefferson,UNION,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Jefferson County,UNION
Jefferson,WARSAW,U.S. Senate,,Dale R. Kerns Jr.,LIB,14,,,Jefferson County,WARSAW
