county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Wyoming,Braintrim Township ,U.S. Senate,,Bob Casey,DEM,45,,,Wyoming County,Braintrim Township
Wyoming,Clinton Township ,U.S. Senate,,Bob Casey,DEM,267,,,Wyoming County,Clinton Township
Wyoming,Eaton Township ,U.S. Senate,,Bob Casey,DEM,258,,,Wyoming County,Eaton Township
Wyoming,Exeter Township ,U.S. Senate,,Bob Casey,DEM,111,,,Wyoming County,Exeter Township
Wyoming,Factoryville Borough Ward 1,U.S. Senate,,Bob Casey,DEM,95,,,Wyoming County,Factoryville Borough Ward 1
Wyoming,Factoryville Borough Ward 2,U.S. Senate,,Bob Casey,DEM,98,,,Wyoming County,Factoryville Borough Ward 2
Wyoming,Falls Township #1,U.S. Senate,,Bob Casey,DEM,95,,,Wyoming County,Falls Township #1
Wyoming,Falls Township #2,U.S. Senate,,Bob Casey,DEM,158,,,Wyoming County,Falls Township #2
Wyoming,Forkston Township ,U.S. Senate,,Bob Casey,DEM,45,,,Wyoming County,Forkston Township
Wyoming,Laceyville Borough ,U.S. Senate,,Bob Casey,DEM,29,,,Wyoming County,Laceyville Borough
Wyoming,Lemon Township ,U.S. Senate,,Bob Casey,DEM,180,,,Wyoming County,Lemon Township
Wyoming,Mehoopany Township ,U.S. Senate,,Bob Casey,DEM,72,,,Wyoming County,Mehoopany Township
Wyoming,Meshoppen Borough ,U.S. Senate,,Bob Casey,DEM,25,,,Wyoming County,Meshoppen Borough
Wyoming,Meshoppen Township ,U.S. Senate,,Bob Casey,DEM,72,,,Wyoming County,Meshoppen Township
Wyoming,Monroe Township ,U.S. Senate,,Bob Casey,DEM,205,,,Wyoming County,Monroe Township
Wyoming,Nicholson Borough at Large,U.S. Senate,,Bob Casey,DEM,103,,,Wyoming County,Nicholson Borough at Large
Wyoming,Nicholson Township ,U.S. Senate,,Bob Casey,DEM,181,,,Wyoming County,Nicholson Township
Wyoming,North Branch Township ,U.S. Senate,,Bob Casey,DEM,29,,,Wyoming County,North Branch Township
Wyoming,Northmoreland Township ,U.S. Senate,,Bob Casey,DEM,213,,,Wyoming County,Northmoreland Township
Wyoming,Noxen Township ,U.S. Senate,,Bob Casey,DEM,96,,,Wyoming County,Noxen Township
Wyoming,Overfield Township ,U.S. Senate,,Bob Casey,DEM,319,,,Wyoming County,Overfield Township
Wyoming,Tunkhannock Borough Ward 1 ,U.S. Senate,,Bob Casey,DEM,37,,,Wyoming County,Tunkhannock Borough Ward 1
Wyoming,Tunkhannock Borough Ward 2,U.S. Senate,,Bob Casey,DEM,112,,,Wyoming County,Tunkhannock Borough Ward 2
Wyoming,Tunkhannock Borough Ward 3 ,U.S. Senate,,Bob Casey,DEM,64,,,Wyoming County,Tunkhannock Borough Ward 3
Wyoming,Tunkhannock Borough Ward 4,U.S. Senate,,Bob Casey,DEM,84,,,Wyoming County,Tunkhannock Borough Ward 4
Wyoming,Tunkhannock Township #1,U.S. Senate,,Bob Casey,DEM,440,,,Wyoming County,Tunkhannock Township #1
Wyoming,Tunkhannock Township #2,U.S. Senate,,Bob Casey,DEM,200,,,Wyoming County,Tunkhannock Township #2
Wyoming,Washington Township ,U.S. Senate,,Bob Casey,DEM,144,,,Wyoming County,Washington Township
Wyoming,Windham Township ,U.S. Senate,,Bob Casey,DEM,91,,,Wyoming County,Windham Township
Wyoming,Braintrim Township ,U.S. Senate,,Lou Barletta,REP,108,,,Wyoming County,Braintrim Township
Wyoming,Clinton Township ,U.S. Senate,,Lou Barletta,REP,298,,,Wyoming County,Clinton Township
Wyoming,Eaton Township ,U.S. Senate,,Lou Barletta,REP,389,,,Wyoming County,Eaton Township
Wyoming,Exeter Township ,U.S. Senate,,Lou Barletta,REP,201,,,Wyoming County,Exeter Township
Wyoming,Factoryville Borough Ward 1,U.S. Senate,,Lou Barletta,REP,69,,,Wyoming County,Factoryville Borough Ward 1
Wyoming,Factoryville Borough Ward 2,U.S. Senate,,Lou Barletta,REP,83,,,Wyoming County,Factoryville Borough Ward 2
Wyoming,Falls Township #1,U.S. Senate,,Lou Barletta,REP,183,,,Wyoming County,Falls Township #1
Wyoming,Falls Township #2,U.S. Senate,,Lou Barletta,REP,288,,,Wyoming County,Falls Township #2
Wyoming,Forkston Township ,U.S. Senate,,Lou Barletta,REP,96,,,Wyoming County,Forkston Township
Wyoming,Laceyville Borough ,U.S. Senate,,Lou Barletta,REP,73,,,Wyoming County,Laceyville Borough
